city_original,city_key,city_official,city_match_status,records
Nova Esperança do Sudoeste,NOVA ESPERANCA DO SUDOESTE,Nova Esperança do Sudoeste,matched,411
Guaraci,GUARACI,Guaraci,matched,405
Janiópolis,JANIOPOLIS,Janiópolis,matched,404
Tapira,TAPIRA,Tapira,matched,400
Diamante do Sul,DIAMANTE DO SUL,Diamante do Sul,matched,396
Borrazópolis,BORRAZOPOLIS,Borrazópolis,matched,395
Agudos do Sul,AGUDOS DO SUL,Agudos do Sul,matched,394
Maria Helena,MARIA HELENA,Maria Helena,matched,394
Alvorada do Sul,ALVORADA DO SUL,Alvorada do Sul,matched,393
Itambé,ITAMBE,Itambé,matched,393
Santa Amélia,SANTA AMELIA,Santa Amélia,matched,391
Califórnia,CALIFORNIA,Califórnia,matched,389
São João do Caiuá,SAO JOAO DO CAIUA,São João do Caiuá,matched,389
São Jorge do Patrocínio,SAO JORGE DO PATROCINIO,São Jorge do Patrocínio,matched,388
Mato Rico,MATO RICO,Mato Rico,matched,386
Nova Olímpia,NOVA OLIMPIA,Nova Olímpia,matched,383
Marquinho,MARQUINHO,Marquinho,matched,381
Cafezal do Sul,CAFEZAL DO SUL,Cafezal do Sul,matched,374
Nova Santa Rosa,NOVA SANTA ROSA,Nova Santa Rosa,matched,374
São Pedro do Iguaçu,SAO PEDRO DO IGUACU,São Pedro do Iguaçu,matched,374
Inajá,INAJA,Inajá,matched,370
Mariluz,MARILUZ,Mariluz,matched,369
Jaboti,JABOTI,Jaboti,matched,368
Kaloré,KALORE,Kaloré,matched,356
Campo do Tenente,CAMPO DO TENENTE,Campo do Tenente,matched,355
Itambaracá,ITAMBARACA,Itambaracá,matched,355
Jussara,JUSSARA,Jussara,matched,354
Paula Freitas,PAULA FREITAS,Paula Freitas,matched,352
Guairaçá,GUAIRACA,Guairaçá,matched,351
Santo Inácio,SANTO INACIO,Santo Inácio,matched,346
Salgado Filho,SALGADO FILHO,Salgado Filho,matched,344
Quatiguá,QUATIGUA,Quatiguá,matched,343
Paulo Frontin,PAULO FRONTIN,Paulo Frontin,matched,342
Godoy Moreira,GODOY MOREIRA,Godoy Moreira,matched,341
Ibema,IBEMA,Ibema,matched,340
Porto Amazonas,PORTO AMAZONAS,Porto Amazonas,matched,338
Porto Barreiro,PORTO BARREIRO,Porto Barreiro,matched,337
Vitorino,VITORINO,Vitorino,matched,337
Bom Sucesso,BOM SUCESSO,Bom Sucesso,matched,336
Conselheiro Mairinck,CONSELHEIRO MAIRINCK,Conselheiro Mairinck,matched,334
Bela Vista da Caroba,BELA VISTA DA CAROBA,Bela Vista da Caroba,matched,333
Honório Serpa,HONORIO SERPA,Honório Serpa,matched,332
Serranópolis do Iguaçu,SERRANOPOLIS DO IGUACU,Serranópolis do Iguaçu,matched,332
Ouro Verde do Oeste,OURO VERDE DO OESTE,Ouro Verde do Oeste,matched,330
Leópolis,LEOPOLIS,Leópolis,matched,329
Marumbi,MARUMBI,Marumbi,matched,329
Fênix,FENIX,Fênix,matched,328
Itaguajé,ITAGUAJE,Itaguajé,matched,328
Nova Fátima,NOVA FATIMA,Nova Fátima,matched,327
Manfrinópolis,MANFRINOPOLIS,Manfrinópolis,matched,323
Boa Esperança,BOA ESPERANCA,Boa Esperança,matched,322
Cruzeiro do Iguaçu,CRUZEIRO DO IGUACU,Cruzeiro do Iguaçu,matched,322
Mariópolis,MARIOPOLIS,Mariópolis,matched,322
São Carlos do Ivaí,SAO CARLOS DO IVAI,São Carlos do Ivaí,matched,320
Renascença,RENASCENCA,Renascença,matched,319
Pinhal de São Bento,PINHAL DE SAO BENTO,Pinhal de São Bento,matched,315
Planaltina do Paraná,PLANALTINA DO PARANA,Planaltina do Paraná,matched,313
São Pedro do Paraná,SAO PEDRO DO PARANA,São Pedro do Paraná,matched,311
Iguaraçu,IGUARACU,Iguaraçu,matched,308
Lunardelli,LUNARDELLI,Lunardelli,matched,308
Arapuã,ARAPUA,Arapuã,matched,307
Mercedes,MERCEDES,Mercedes,matched,299
São Jorge do Ivaí,SAO JORGE DO IVAI,São Jorge do Ivaí,matched,295
Ariranha do Ivaí,ARIRANHA DO IVAI,Ariranha do Ivaí,matched,292
Campina do Simão,CAMPINA DO SIMAO,Campina do Simão,matched,291
Nova Santa Bárbara,NOVA SANTA BARBARA,Nova Santa Bárbara,matched,290
Quarto Centenário,QUARTO CENTENARIO,Quarto Centenário,matched,290
Luiziana,LUIZIANA,Luiziana,matched,288
Alto Paraíso,ALTO PARAISO,Alto Paraíso,matched,286
Perobal,PEROBAL,Perobal,matched,286
Maripá,MARIPA,Maripá,matched,283
Santa Cecília do Pavão,SANTA CECILIA DO PAVAO,Santa Cecília do Pavão,matched,282
Japira,JAPIRA,Japira,matched,276
Boa Esperança do Iguaçu,BOA ESPERANCA DO IGUACU,Boa Esperança do Iguaçu,matched,274
Novo Itacolomi,NOVO ITACOLOMI,Novo Itacolomi,matched,273
Quinta do Sol,QUINTA DO SOL,Quinta do Sol,matched,272
Marilena,MARILENA,Marilena,matched,271
Lupionópolis,LUPIONOPOLIS,Lupionópolis,matched,270
Campo Bonito,CAMPO BONITO,Campo Bonito,matched,269
Santa Mônica,SANTA MONICA,Santa Mônica,matched,269
Brasilândia do Sul,BRASILANDIA DO SUL,Brasilândia do Sul,matched,268
Salto do Itararé,SALTO DO ITARARE,Salto do Itararé,matched,268
Anahy,ANAHY,Anahy,matched,267
Floraí,FLORAI,Floraí,matched,265
Doutor Camargo,DOUTOR CAMARGO,Doutor Camargo,matched,264
Nossa Senhora das Graças,NOSSA SENHORA DAS GRACAS,Nossa Senhora das Graças,matched,263
Cafeara,CAFEARA,Cafeara,matched,257
Santa Lúcia,SANTA LUCIA,Santa Lúcia,matched,257
Tamboara,TAMBOARA,Tamboara,matched,255
Ramilândia,RAMILANDIA,Ramilândia,matched,253
Prado Ferreira,PRADO FERREIRA,Prado Ferreira,matched,252
Lobato,LOBATO,Lobato,matched,250
Amaporã,AMAPORA,Amaporã,matched,248
Itaúna do Sul,ITAUNA DO SUL,Itaúna do Sul,matched,247
Nova América da Colina,NOVA AMERICA DA COLINA,Nova América da Colina,matched,246
Munhoz de Melo,MUNHOZ DE MELO,Munhoz de Melo,matched,233
Rio Bom,RIO BOM,Rio Bom,matched,227
Sulina,SULINA,Sulina,matched,227
Indianópolis,INDIANOPOLIS,Indianópolis,matched,225
Guapirama,GUAPIRAMA,Guapirama,matched,223
Iracema do Oeste,IRACEMA DO OESTE,Iracema do Oeste,matched,221
Jundiaí do Sul,JUNDIAI DO SUL,Jundiaí do Sul,matched,219
Rancho Alegre,RANCHO ALEGRE,Rancho Alegre,matched,217
Presidente Castelo Branco,PRESIDENTE CASTELO BRANCO,Presidente Castelo Branco,matched,216
Santo Antônio do Caiuá,SANTO ANTONIO DO CAIUA,Santo Antônio do Caiuá,matched,215
Altamira do Paraná,ALTAMIRA DO PARANA,Altamira do Paraná,matched,214
Miraselva,MIRASELVA,Miraselva,matched,210
Porto Rico,PORTO RICO,Porto Rico,matched,207
Ivatuba,IVATUBA,Ivatuba,matched,206
Bom Sucesso do Sul,BOM SUCESSO DO SUL,Bom Sucesso do Sul,matched,203
Ourizona,OURIZONA,Ourizona,matched,202
Cruzmaltina,CRUZMALTINA,Cruzmaltina,matched,195
Pato Bragado,PATO BRAGADO,Pato Bragado,matched,195
Quatro Pontes,QUATRO PONTES,Quatro Pontes,matched,190
Atalaia,ATALAIA,Atalaia,matched,189
Virmond,VIRMOND,Virmond,matched,189
Cruzeiro do Sul,CRUZEIRO DO SUL,Cruzeiro do Sul,matched,187
Flórida,FLORIDA,Flórida,matched,187
Pitangueiras,PITANGUEIRAS,Pitangueiras,matched,187
Santo Antônio do Paraíso,SANTO ANTONIO DO PARAISO,Santo Antônio do Paraíso,matched,187
Entre Rios do Oeste,ENTRE RIOS DO OESTE,Entre Rios do Oeste,matched,181
Paranapoema,PARANAPOEMA,Paranapoema,matched,181
Barra do Jacaré,BARRA DO JACARE,Barra do Jacaré,matched,171
Corumbataí do Sul,CORUMBATAI DO SUL,Corumbataí do Sul,matched,165
Farol,FAROL,Farol,matched,165
São José das Palmeiras,SAO JOSE DAS PALMEIRAS,São José das Palmeiras,matched,164
Uniflor,UNIFLOR,Uniflor,matched,164
Esperança Nova,ESPERANCA NOVA,Esperança Nova,matched,163
Porto Vitória,PORTO VITORIA,Porto Vitória,matched,160
Rancho Alegre D'Oeste,RANCHO ALEGRE D'OESTE,Rancho Alegre D'Oeste,matched,154
Iguatu,IGUATU,Iguatu,matched,153
Guaporema,GUAPOREMA,Guaporema,matched,141
Ângulo,ANGULO,Ângulo,matched,140
Mirador,MIRADOR,Mirador,matched,135
Nova Aliança do Ivaí,NOVA ALIANCA DO IVAI,Nova Aliança do Ivaí,matched,125
Jardim Olinda,JARDIM OLINDA,Jardim Olinda,matched,121
Santa Inês,SANTA INES,Santa Inês,matched,116
São Manoel do Paraná,SAO MANOEL DO PARANA,São Manoel do Paraná,matched,100
****,****,,unmatched,222000
Brasília,BRASILIA,,unmatched,5
