city_official,rh_records,active_records,average_remuneration_brl,median_remuneration_brl,p90_remuneration_brl,female_share_pct,avg_age,inactive_records,active_share_pct,city,demonym,population_last_census,population_estimated,population_density,formal_jobs,formal_jobs_avg_salary_min_wage,infant_mortality_per_thousand,gdp_per_capita_brl,school_attendance_6_14_pct,diarrhea_hospitalizations_per_100k,city_key,rh_records_per_1k_est_pop
São Pedro do Iguaçu,374,64,1088.1332085561498,0.0,5323.701,76.7379679144385,40.63101604278075,310,17.11229946524064,São Pedro do Iguaçu,paranaense,5784,5730,18.76,825,2.6,12.35,46313.37,99.4,0.0,SAO PEDRO DO IGUACU,65.27050610820244
Cafezal do Sul,374,51,779.714679144385,0.0,3179.2889999999943,83.15508021390374,40.63368983957219,323,13.636363636363635,Cafezal do Sul,paranaense,4473,4580,13.34,712,2.0,,44494.97,98.14,0.0,CAFEZAL DO SUL,81.6593886462882
Inajá,370,55,938.5677837837839,0.0,5534.798000000003,82.43243243243244,40.42972972972973,315,14.864864864864865,Inajá,paranaense,2536,2481,13.02,315,2.2,,30062.76,100.0,0.0,INAJA,149.13341394598953
Mariluz,369,87,1858.1257452574525,0.0,7479.437999999999,78.86178861788618,45.84281842818428,282,23.577235772357724,Mariluz,paranaense,9847,9910,22.73,1299,2.1,8.4,41023.34,99.26,0.0,MARILUZ,37.2351160443996
Jaboti,368,74,1382.330543478261,0.0,6658.19,79.8913043478261,40.82608695652174,294,20.108695652173914,Jaboti,paranaense,5427,5655,38.97,871,1.9,,28851.21,94.87,0.0,JABOTI,65.07515473032714
Kaloré,356,79,1461.6792696629213,0.0,6692.764999999999,87.64044943820225,42.485955056179776,277,22.191011235955056,Kaloré,paranaense,4582,4666,23.7,1005,1.7,,43918.88,99.48,0.0,KALORE,76.29661380197172
Itambaracá,355,49,1286.3722816901409,0.0,6217.882000000015,82.25352112676056,43.2112676056338,306,13.802816901408452,Itambaracá,paranaense,5908,5819,28.49,1045,2.0,17.24,47300.82,99.62,34.0,ITAMBARACA,61.007045884172534
Campo do Tenente,355,86,1591.3646478873238,0.0,6613.278000000002,79.15492957746478,41.1943661971831,269,24.225352112676056,Campo do Tenente,paranaense,7508,7693,24.66,1610,2.0,,40846.17,99.1,0.0,CAMPO DO TENENTE,46.14584687378136
Jussara,354,68,1315.4093785310733,0.0,6197.672,83.05084745762711,41.367231638418076,286,19.2090395480226,Jussara,paranaense,6690,6786,31.73,2873,2.5,,55375.88,98.52,58.9,JUSSARA,52.16622458001768
Paula Freitas,352,70,1330.3294602272729,0.0,6307.432000000006,76.70454545454545,39.27556818181818,282,19.886363636363637,Paula Freitas,paranaense,5666,5706,13.45,1301,1.9,,86221.59,98.98,0.0,PAULA FREITAS,61.689449702068
Guairaçá,351,50,1050.6691452991454,0.0,5844.53,83.76068376068376,41.9059829059829,301,14.245014245014245,Guairaçá,paranaense,6587,6762,13.34,991,2.4,30.0,61458.48,99.31,14.9,GUAIRACA,51.90771960958296
Santo Inácio,346,59,1191.4285838150288,0.0,6272.8099999999995,83.52601156069365,44.59537572254335,287,17.052023121387283,Santo Inácio,paranaense,6181,6463,22.06,4960,2.5,11.9,135370.89,99.22,0.0,SANTO INACIO,53.5355098251586
Salgado Filho,344,61,1258.5261337209301,0.0,5234.808999999998,74.70930232558139,38.56395348837209,283,17.732558139534884,Salgado Filho,paranaense,4075,4090,22.51,965,1.8,,35479.95,100.0,0.0,SALGADO FILHO,84.10757946210269
Quatiguá,343,84,1676.8031778425657,0.0,7247.644,77.25947521865889,42.47230320699708,259,24.489795918367346,Quatiguá,paranaense,8099,8426,71.87,2050,1.9,36.14,30189.72,100.0,0.0,QUATIGUA,40.7073344410159
Paulo Frontin,342,74,1366.450701754386,0.0,5829.3880000000045,77.77777777777779,38.33625730994152,268,21.637426900584796,Paulo Frontin,paranaense,6343,6414,17.46,1143,2.3,,74705.21,100.0,0.0,PAULO FRONTIN,53.32086061739944
Godoy Moreira,341,44,846.1136950146628,0.0,3838.75,77.41935483870968,40.04692082111437,297,12.903225806451612,Godoy Moreira,paranaense,2977,2911,22.72,365,2.1,35.71,32291.91,100.0,0.0,GODOY MOREIRA,117.14187564410855
Ibema,340,52,1129.0677352941177,0.0,5615.258000000001,83.52941176470588,40.68235294117647,288,15.294117647058824,Ibema,paranaense,6218,6343,42.75,1505,2.0,23.53,33465.91,98.21,110.6,IBEMA,53.60239634242472
Porto Amazonas,338,53,978.5391715976331,0.0,4860.919000000001,80.4733727810651,40.84615384615385,285,15.680473372781064,Porto Amazonas,paranaense,4098,4072,21.96,2061,2.6,,95573.82,100.0,0.0,PORTO AMAZONAS,83.00589390962672
Porto Barreiro,337,45,768.6648961424332,0.0,4515.938000000003,82.49258160237389,38.8486646884273,292,13.353115727002967,Porto Barreiro,paranaense,3110,3057,8.61,440,2.9,55.56,54394.82,98.86,0.0,PORTO BARREIRO,110.23879620543016
Vitorino,337,76,1654.973056379822,0.0,6498.072000000003,83.08605341246292,40.99406528189911,261,22.551928783382788,Vitorino,paranaense,9706,10549,31.49,2520,2.1,20.41,65013.87,97.79,0.0,VITORINO,31.946156033747272
Bom Sucesso,336,60,1174.4263988095238,0.0,5362.46,82.73809523809523,42.857142857142854,276,17.857142857142858,Bom Sucesso,paranaense,6581,6674,20.39,1117,1.8,37.5,33681.51,99.14,0.0,BOM SUCESSO,50.34462091699131
Conselheiro Mairinck,334,64,1211.8735928143712,0.0,5945.228999999996,81.437125748503,40.544910179640716,270,19.16167664670659,Conselheiro Mairinck,paranaense,3461,3474,16.91,546,2.1,,48767.75,86.53,0.0,CONSELHEIRO MAIRINCK,96.14277489925158
Bela Vista da Caroba,333,49,1035.9955255255256,0.0,5928.034000000007,81.08108108108108,39.432432432432435,284,14.714714714714713,Bela Vista da Caroba,paranaense,4031,4122,27.22,501,2.1,,31281.27,98.78,0.0,BELA VISTA DA CAROBA,80.78602620087335
Serranópolis do Iguaçu,332,50,997.322560240964,0.0,5597.123000000007,90.06024096385542,36.89156626506024,282,15.060240963855422,Serranópolis do Iguaçu,paranaense,5007,5161,10.38,930,2.5,,54438.48,99.35,0.0,SERRANOPOLIS DO IGUACU,64.32861848478977
Honório Serpa,332,40,1044.711204819277,0.0,5285.570000000014,79.81927710843374,40.61144578313253,292,12.048192771084338,Honório Serpa,paranaense,4941,4803,9.84,955,2.5,13.51,78227.21,99.41,0.0,HONORIO SERPA,69.12346450135331
Ouro Verde do Oeste,330,32,638.6554848484849,0.0,0.0,71.81818181818181,38.68787878787879,298,9.696969696969697,Ouro Verde do Oeste,paranaense,6785,7102,23.15,1230,2.3,,43793.26,99.18,0.0,OURO VERDE DO OESTE,46.46578428611659
Marumbi,329,40,828.7423404255319,0.0,4271.815999999993,84.49848024316108,41.851063829787236,289,12.158054711246201,Marumbi,paranaense,4699,4780,22.54,1074,1.6,,28583.37,93.77,0.0,MARUMBI,68.82845188284519
Leópolis,329,66,1440.793009118541,0.0,6891.335999999998,81.15501519756839,44.0790273556231,263,20.060790273556233,Leópolis,paranaense,3752,3725,10.88,550,2.4,31.25,60266.0,100.0,0.0,LEOPOLIS,88.32214765100672
Fênix,328,68,1603.1745731707317,0.0,6658.19,86.89024390243902,43.72256097560975,260,20.73170731707317,Fênix,paranaense,4492,4488,19.19,1309,1.6,22.73,54234.99,98.48,0.0,FENIX,73.08377896613192
Itaguajé,328,55,1073.366798780488,0.0,5728.182000000001,80.79268292682927,44.13414634146341,273,16.76829268292683,Itaguajé,paranaense,4481,4530,23.06,744,2.2,,36664.75,98.75,0.0,ITAGUAJE,72.40618101545255
Nova Fátima,327,67,1599.0590519877676,0.0,7902.46,89.60244648318043,43.81957186544342,260,20.489296636085626,Nova Fátima,paranaense,7225,7140,25.49,1251,2.3,,45319.52,99.22,236.1,NOVA FATIMA,45.798319327731086
Manfrinópolis,323,43,750.0096284829721,0.0,3575.4460000000013,72.13622291021672,36.755417956656345,280,13.312693498452013,Manfrinópolis,paranaense,2770,2790,12.84,622,2.0,,37689.28,100.0,0.0,MANFRINOPOLIS,115.7706093189964
Boa Esperança,322,46,975.6809627329193,0.0,5155.115000000008,87.5776397515528,41.48757763975155,276,14.285714285714285,Boa Esperança,paranaense,4558,4595,15.06,832,2.5,24.39,75237.05,96.74,0.0,BOA ESPERANCA,70.07616974972797
Mariópolis,322,58,1185.3781055900622,0.0,5427.05,83.54037267080744,40.62111801242236,264,18.012422360248447,Mariópolis,paranaense,6371,6506,27.66,1922,2.5,,86961.81,99.61,0.0,MARIOPOLIS,49.49277589917
Cruzeiro do Iguaçu,322,58,1305.1260248447206,0.0,6417.829000000006,79.19254658385093,40.015527950310556,264,18.012422360248447,Cruzeiro do Iguaçu,paranaense,4133,4129,25.53,1035,2.1,,50000.33,99.29,0.0,CRUZEIRO DO IGUACU,77.98498425768952
São Carlos do Ivaí,320,63,1759.5808124999999,0.0,8338.753000000002,87.8125,40.4375,257,19.6875,São Carlos do Ivaí,paranaense,6587,6727,29.27,2277,2.4,34.88,86205.53,98.2,163.9,SAO CARLOS DO IVAI,47.569496060651105
Renascença,319,68,1669.1180877742947,0.0,8065.883999999998,82.75862068965517,42.61755485893417,251,21.316614420062695,Renascença,paranaense,6845,6945,16.1,1898,2.3,,67212.82,99.76,0.0,RENASCENCA,45.932325413966886
Pinhal de São Bento,315,30,740.9804444444444,0.0,0.0,84.44444444444444,36.86984126984127,285,9.523809523809524,Pinhal de São Bento,paranaense,2761,2805,28.33,459,1.9,,29736.89,100.0,0.0,PINHAL DE SAO BENTO,112.29946524064172
Planaltina do Paraná,313,39,834.1282747603834,0.0,5285.434000000003,79.87220447284345,40.47923322683706,274,12.460063897763577,Planaltina do Paraná,paranaense,4070,4125,11.43,1028,2.0,,36741.98,100.0,72.8,PLANALTINA DO PARANA,75.87878787878788
São Pedro do Paraná,311,44,801.8596784565917,0.0,4159.96,82.31511254019293,41.38263665594855,267,14.14790996784566,São Pedro do Paraná,paranaense,2661,2726,10.62,842,2.1,,41823.02,100.0,0.0,SAO PEDRO DO PARANA,114.08657373440938
Lunardelli,308,57,1328.2135714285714,0.0,6658.19,81.81818181818183,42.048701298701296,251,18.506493506493506,Lunardelli,paranaense,4872,4864,24.46,823,1.9,,30231.87,97.8,469.2,LUNARDELLI,63.32236842105263
Iguaraçu,308,41,970.7730519480518,0.0,5148.443000000001,77.59740259740259,41.62337662337662,267,13.311688311688311,Iguaraçu,paranaense,5338,5693,32.35,1687,2.1,,50048.33,97.38,0.0,IGUARACU,54.10152819251712
Arapuã,307,42,830.2899022801303,0.0,4862.978000000003,74.9185667752443,40.53745928338762,265,13.680781758957655,Arapuã,paranaense,3527,3573,16.23,504,2.2,23.81,43743.99,100.0,0.0,ARAPUA,85.9221942345368
Mercedes,299,61,1201.7014046822742,0.0,5677.302,82.2742474916388,38.43478260869565,238,20.401337792642142,Mercedes,paranaense,5931,6194,30.09,1382,2.4,14.08,52582.83,100.0,0.0,MERCEDES,48.27252179528576
São Jorge do Ivaí,295,46,1195.706033898305,0.0,6103.542000000003,77.28813559322035,42.3593220338983,249,15.593220338983052,São Jorge do Ivaí,paranaense,5168,5170,16.4,1187,2.4,23.26,80750.08,99.4,0.0,SAO JORGE DO IVAI,57.05996131528046
Ariranha do Ivaí,292,26,581.6205136986301,0.0,0.0,84.58904109589042,37.784246575342465,266,8.904109589041095,Ariranha do Ivaí,paranaense,2329,2351,9.95,368,2.3,35.71,62246.84,100.0,0.0,ARIRANHA DO IVAI,124.20246703530412
Campina do Simão,291,33,859.0120618556701,0.0,3329.1,78.69415807560138,36.53264604810997,258,11.34020618556701,Campina do Simão,paranaense,3936,3954,8.78,718,2.1,24.69,49573.09,100.0,0.0,CAMPINA DO SIMAO,73.59635811836115
Quarto Centenário,290,44,911.2709310344828,0.0,4918.496,78.62068965517241,43.39655172413793,246,15.172413793103448,Quarto Centenário,paranaense,4201,4127,13.05,852,2.4,,97362.29,98.14,0.0,QUARTO CENTENARIO,70.26896050399806
Nova Santa Bárbara,290,59,1360.0172413793102,0.0,5347.094000000002,78.27586206896552,39.758620689655174,231,20.344827586206897,Nova Santa Bárbara,paranaense,4184,4308,54.42,595,2.3,23.26,31455.2,84.78,0.0,NOVA SANTA BARBARA,67.31662024141133
Luiziana,288,42,1076.7670138888889,0.0,5504.462,77.08333333333334,40.010416666666664,246,14.583333333333334,Luiziana,paranaense,6690,6659,7.3,1259,2.3,,89587.6,99.01,0.0,LUIZIANA,43.24973719777744
Perobal,286,58,1428.23486013986,0.0,6658.19,84.26573426573427,41.87412587412587,228,20.27972027972028,Perobal,paranaense,7189,7599,17.57,1301,2.2,8.4,49373.82,99.53,0.0,PEROBAL,37.636531122516125
Alto Paraíso,286,34,791.4036713286714,0.0,3064.56,74.12587412587412,42.19230769230769,252,11.888111888111888,Alto Paraíso,paranaense,3055,3067,3.16,665,2.5,,48366.68,100.0,0.0,ALTO PARAISO,93.25073361591132
Maripá,283,58,1278.6042756183747,0.0,6344.096000000004,79.15194346289752,40.975265017667844,225,20.49469964664311,Maripá,paranaense,6555,6824,23.1,1688,2.5,,81721.35,97.67,0.0,MARIPA,41.471277842907384
Santa Cecília do Pavão,282,48,1328.8174468085108,0.0,5297.87,76.24113475177306,40.45744680851064,234,17.02127659574468,Santa Cecília do Pavão,paranaense,3365,3357,32.02,589,2.0,24.39,53243.98,99.46,0.0,SANTA CECILIA DO PAVAO,84.0035746201966
Japira,276,63,1628.6240579710145,0.0,6658.19,82.6086956521739,43.3768115942029,213,22.82608695652174,Japira,paranaense,4972,5054,26.47,716,1.8,,34179.34,98.05,0.0,JAPIRA,54.610209734863474
Boa Esperança do Iguaçu,274,37,897.1020802919708,0.0,5156.142000000001,79.92700729927007,38.18978102189781,237,13.503649635036496,Boa Esperança do Iguaçu,paranaense,2455,2421,16.17,497,2.2,34.48,67222.53,100.0,0.0,BOA ESPERANCA DO IGUACU,113.17637339942173
Novo Itacolomi,273,43,1020.3081684981685,0.0,5462.314,82.78388278388277,37.417582417582416,230,15.75091575091575,Novo Itacolomi,paranaense,3125,3227,19.36,861,1.8,,39975.22,100.0,0.0,NOVO ITACOLOMI,84.59869848156181
Quinta do Sol,272,58,1343.2892279411765,0.0,5528.758000000001,85.29411764705883,44.95220588235294,214,21.323529411764707,Quinta do Sol,paranaense,5001,5052,15.33,729,2.2,14.93,62978.03,100.0,0.0,QUINTA DO SOL,53.84006334125099
Marilena,271,58,1548.4167158671587,0.0,7421.21,83.02583025830258,44.74907749077491,213,21.40221402214022,Marilena,paranaense,7253,7450,31.21,1498,1.9,10.42,32708.81,99.26,364.4,MARILENA,36.3758389261745
Lupionópolis,270,55,1355.137962962963,0.0,6207.533999999999,84.81481481481481,42.925925925925924,215,20.37037037037037,Lupionópolis,paranaense,4813,4929,39.76,1143,1.9,25.64,34250.14,99.51,0.0,LUPIONOPOLIS,54.77784540474742
Campo Bonito,269,43,1036.817657992565,0.0,4949.784000000002,75.46468401486989,39.237918215613384,226,15.985130111524162,Campo Bonito,paranaense,4027,3997,9.28,643,2.4,,58901.77,100.0,0.0,CAMPO BONITO,67.30047535651738
Santa Mônica,269,37,1056.8305576208177,0.0,5287.562000000001,83.64312267657994,39.486988847583646,232,13.754646840148698,Santa Mônica,paranaense,3356,3361,12.91,619,2.0,30.3,34407.39,98.18,0.0,SANTA MONICA,80.03570365962511
Salto do Itararé,268,47,1223.8257835820896,0.0,5838.9929999999995,72.01492537313433,43.46268656716418,221,17.537313432835823,Salto do Itararé,paranaense,5192,5214,25.89,766,1.7,,23913.67,99.07,0.0,SALTO DO ITARARE,51.40007671653241
Brasilândia do Sul,268,39,969.3866791044776,0.0,4922.034000000002,88.05970149253731,42.58582089552239,229,14.55223880597015,Brasilândia do Sul,paranaense,3708,3861,12.74,610,2.4,,80537.86,99.18,0.0,BRASILANDIA DO SUL,69.41206941206941
Anahy,267,34,957.7014232209738,0.0,5395.46,75.28089887640449,40.81273408239701,233,12.734082397003746,Anahy,paranaense,2918,2971,28.36,656,1.7,96.77,42605.49,98.9,0.0,ANAHY,89.86873106698081
Floraí,265,53,1418.879283018868,0.0,6591.609999999999,89.05660377358491,44.237735849056605,212,20.0,Floraí,paranaense,4792,4805,25.07,1190,1.9,,64824.8,100.0,0.0,FLORAI,55.15088449531738
Doutor Camargo,264,60,1637.3618181818183,0.0,6658.19,83.71212121212122,43.96212121212121,204,22.727272727272727,Doutor Camargo,paranaense,6327,6517,53.49,1128,1.8,13.16,38349.19,98.86,0.0,DOUTOR CAMARGO,40.50943685744975
Nossa Senhora das Graças,263,31,815.4586311787072,0.0,3223.100000000006,84.79087452471484,43.68441064638783,232,11.787072243346007,Nossa Senhora das Graças,paranaense,3669,3669,19.75,535,1.9,,34590.58,100.0,0.0,NOSSA SENHORA DAS GRACAS,71.68165712728263
Cafeara,257,31,952.0260700389106,0.0,3999.3420000000006,85.21400778210116,42.69649805447471,226,12.062256809338521,Cafeara,paranaense,2627,2648,14.14,316,3.0,,46262.76,98.89,0.0,CAFEARA,97.05438066465257
Santa Lúcia,257,39,1022.4224902723736,0.0,4873.968,84.04669260700389,40.95330739299611,218,15.17509727626459,Santa Lúcia,paranaense,3644,3638,28.74,729,2.0,23.26,43410.54,100.0,0.0,SANTA LUCIA,70.64321055525014
Tamboara,255,48,1537.7576078431373,0.0,7033.132,83.52941176470588,44.26274509803922,207,18.823529411764707,Tamboara,paranaense,4880,4986,25.24,1070,2.3,37.74,37734.73,97.05,0.0,TAMBOARA,51.143200962695545
Ramilândia,253,42,1042.720671936759,0.0,5901.214000000003,79.05138339920948,40.6205533596838,211,16.600790513833992,Ramilândia,paranaense,4221,4279,17.8,486,2.5,,29989.37,97.19,0.0,RAMILANDIA,59.12596401028278
Prado Ferreira,252,41,1137.3904365079366,0.0,5656.367,72.22222222222221,43.916666666666664,211,16.26984126984127,Prado Ferreira,paranaense,3709,3816,24.26,949,2.8,,56067.67,98.86,0.0,PRADO FERREIRA,66.0377358490566
Lobato,250,52,1547.8008799999998,0.0,6658.19,85.2,46.264,198,20.8,Lobato,paranaense,4601,4707,19.1,1079,2.5,71.43,72455.61,100.0,0.0,LOBATO,53.11238580837051
Amaporã,248,34,1033.1739516129032,0.0,5182.875000000003,72.58064516129032,40.91129032258065,214,13.709677419354838,Amaporã,paranaense,4762,4688,12.38,659,2.3,,34418.01,97.91,105.6,AMAPORA,52.901023890784984
Itaúna do Sul,247,44,1354.931012145749,0.0,6933.3960000000025,85.82995951417004,44.935222672064775,203,17.813765182186234,Itaúna do Sul,paranaense,3572,3607,27.72,562,2.1,22.22,42504.16,100.0,27.6,ITAUNA DO SUL,68.47795952314944
Nova América da Colina,246,40,1281.5475203252033,0.0,5100.65,77.64227642276423,44.30487804878049,206,16.260162601626014,Nova América da Colina,paranaense,3280,3286,25.33,590,2.5,27.03,32956.41,97.76,0.0,NOVA AMERICA DA COLINA,74.86305538648813
Munhoz de Melo,233,48,1519.328497854077,0.0,6675.238,75.9656652360515,45.24892703862661,185,20.600858369098713,Munhoz de Melo,paranaense,3951,4057,28.84,709,2.0,,44713.57,100.0,0.0,MUNHOZ DE MELO,57.43159970421494
Rio Bom,227,37,1268.5414977973567,0.0,7400.096000000002,74.8898678414097,40.158590308370044,190,16.299559471365637,Rio Bom,paranaense,3197,3214,17.98,783,1.3,32.26,37164.63,99.36,0.0,RIO BOM,70.62850031113877
Sulina,227,38,1152.5778414096917,0.0,5814.636000000002,79.73568281938326,38.841409691629956,189,16.740088105726873,Sulina,paranaense,3440,3498,20.15,673,2.5,,55517.17,99.19,0.0,SULINA,64.89422527158375
Indianópolis,225,47,1686.3910666666666,0.0,6323.031999999997,77.77777777777779,43.06666666666667,178,20.88888888888889,Indianópolis,paranaense,4448,4544,36.27,1455,2.2,40.0,173682.59,97.76,1037.3,INDIANOPOLIS,49.515845070422536
Guapirama,223,48,1545.428475336323,0.0,7581.22,74.88789237668162,42.31390134529148,175,21.524663677130047,Guapirama,paranaense,4626,4857,24.46,919,2.1,13.89,49485.22,100.0,0.0,GUAPIRAMA,45.91311509162034
Iracema do Oeste,221,37,1174.1862443438915,0.0,6110.96,85.97285067873304,40.217194570135746,184,16.7420814479638,Iracema do Oeste,paranaense,2343,2328,28.74,447,2.3,52.63,53805.14,95.54,0.0,IRACEMA DO OESTE,94.93127147766323
Jundiaí do Sul,219,45,1345.4509589041097,0.0,6125.542000000011,73.0593607305936,43.49315068493151,174,20.54794520547945,Jundiaí do Sul,paranaense,3333,3372,10.39,452,2.3,,47213.06,97.77,0.0,JUNDIAI DO SUL,64.94661921708185
Rancho Alegre,217,31,1045.6795391705068,0.0,5182.334000000002,78.80184331797236,42.25806451612903,186,14.285714285714285,Rancho Alegre,paranaense,3512,3472,20.95,547,2.1,,56141.77,99.41,0.0,RANCHO ALEGRE,62.5
Presidente Castelo Branco,216,39,1142.7987962962961,0.0,6074.3099999999995,81.94444444444444,44.0462962962963,177,18.055555555555554,Presidente Castelo Branco,paranaense,4336,4304,27.84,875,2.0,,45464.85,100.0,0.0,PRESIDENTE CASTELO BRANCO,50.185873605947954
Santo Antônio do Caiuá,215,36,1241.0850697674418,0.0,6514.825999999997,74.88372093023256,41.097674418604655,179,16.74418604651163,Santo Antônio do Caiuá,paranaense,2493,2474,11.38,455,2.1,43.48,28089.38,100.0,240.4,SANTO ANTONIO DO CAIUA,86.90379951495554
Altamira do Paraná,214,33,1038.6128037383178,0.0,5427.05,84.11214953271028,41.10747663551402,181,15.42056074766355,Altamira do Paraná,paranaense,3590,3496,9.28,561,2.1,21.28,32175.22,99.6,0.0,ALTAMIRA DO PARANA,61.212814645308924
Miraselva,210,29,825.9536190476191,0.0,4356.331999999999,76.19047619047619,43.233333333333334,181,13.80952380952381,Miraselva,paranaense,1966,2017,21.77,351,2.1,,35296.98,98.08,0.0,MIRASELVA,104.11502231036192
Porto Rico,207,30,918.6388405797101,0.0,4893.77,86.47342995169082,40.71497584541063,177,14.492753623188406,Porto Rico,paranaense,3182,3370,14.62,1196,2.3,16.39,48076.83,100.0,90.5,PORTO RICO,61.424332344213646
Ivatuba,206,30,1129.5749514563106,0.0,5954.895,82.52427184466019,38.54368932038835,176,14.563106796116504,Ivatuba,paranaense,2708,2685,28.02,870,2.0,33.33,61748.43,99.3,0.0,IVATUBA,76.72253258845438
Bom Sucesso do Sul,203,29,1042.1464532019704,0.0,5121.4,78.81773399014779,39.73399014778325,174,14.285714285714285,Bom Sucesso do Sul,paranaense,3202,3244,16.34,990,2.4,,103530.68,100.0,0.0,BOM SUCESSO DO SUL,62.57706535141801
Ourizona,202,45,1639.299603960396,0.0,6658.19,76.23762376237624,43.66831683168317,157,22.277227722772277,Ourizona,paranaense,3187,3193,18.06,568,2.3,,58541.87,99.37,0.0,OURIZONA,63.26338866269965
Pato Bragado,195,57,2033.2520000000002,0.0,6790.433999999999,77.43589743589745,38.88205128205128,138,29.230769230769234,Pato Bragado,paranaense,5733,6004,42.28,1869,2.2,20.41,47051.07,99.16,841.9,PATO BRAGADO,32.47834776815456
Cruzmaltina,195,41,1338.3692307692309,0.0,6351.567999999998,83.07692307692308,38.743589743589745,154,21.025641025641026,Cruzmaltina,paranaense,2892,2870,9.26,503,2.2,,65430.04,100.0,0.0,CRUZMALTINA,67.94425087108013
Quatro Pontes,190,45,1556.7032105263156,0.0,7418.455999999996,79.47368421052632,41.01052631578948,145,23.684210526315788,Quatro Pontes,paranaense,4480,4672,39.16,1502,2.5,,68554.09,100.0,0.0,QUATRO PONTES,40.667808219178085
Atalaia,189,44,1632.7459259259258,0.0,6683.328000000002,90.47619047619048,44.35978835978836,145,23.28042328042328,Atalaia,paranaense,3980,4046,28.91,948,2.2,32.26,64007.95,98.9,0.0,ATALAIA,46.71280276816609
Virmond,189,42,1676.9381481481482,0.0,8087.606000000003,86.24338624338624,39.55555555555556,147,22.22222222222222,Virmond,paranaense,3811,3828,15.3,844,2.0,,63389.93,100.0,0.0,VIRMOND,49.373040752351095
Santo Antônio do Paraíso,187,23,1115.873422459893,0.0,5657.652000000002,81.81818181818183,40.6096256684492,164,12.299465240641712,Santo Antônio do Paraíso,paranaense,2125,2088,12.72,469,1.6,,54023.07,100.0,0.0,SANTO ANTONIO DO PARAISO,89.55938697318008
Pitangueiras,187,31,1201.4100534759357,0.0,6110.992000000001,88.77005347593582,40.037433155080215,156,16.577540106951872,Pitangueiras,paranaense,3046,3141,24.72,558,2.3,29.41,52715.86,100.0,0.0,PITANGUEIRAS,59.535179879019424
Flórida,187,31,1310.646577540107,0.0,6448.99,86.09625668449198,41.529411764705884,156,16.577540106951872,Flórida,paranaense,2652,2711,31.93,639,2.2,28.57,38182.92,97.47,0.0,FLORIDA,68.97823681298414
Cruzeiro do Sul,187,42,1567.1164705882352,0.0,6835.17,79.67914438502673,43.588235294117645,145,22.459893048128343,Cruzeiro do Sul,paranaense,4494,4543,17.34,648,2.2,,62589.03,100.0,0.0,CRUZEIRO DO SUL,41.16222760290557
Entre Rios do Oeste,181,42,1564.4650828729282,0.0,6658.19,72.92817679558011,39.13812154696133,139,23.204419889502763,Entre Rios do Oeste,paranaense,4575,4770,37.82,1820,2.4,,91973.29,99.1,570.9,ENTRE RIOS DO OESTE,37.9454926624738
Paranapoema,181,32,1386.2081767955801,0.0,6658.19,80.66298342541437,39.27624309392265,149,17.67955801104972,Paranapoema,paranaense,2398,2352,13.63,644,2.0,100.0,37022.83,99.32,0.0,PARANAPOEMA,76.95578231292517
Barra do Jacaré,171,44,1982.5429824561402,0.0,8514.08,78.3625730994152,44.92982456140351,127,25.730994152046783,Barra do Jacaré,paranaense,2814,2872,24.29,449,2.0,,66502.51,100.0,0.0,BARRA DO JACARE,59.54038997214485
Corumbataí do Sul,165,36,1521.1314545454545,0.0,6658.19,76.36363636363637,41.096969696969694,129,21.818181818181817,Corumbataí do Sul,paranaense,3760,3770,22.88,561,1.9,28.57,27908.16,97.85,0.0,CORUMBATAI DO SUL,43.766578249336874
Farol,165,33,1284.512909090909,0.0,5595.067999999998,75.75757575757575,42.14545454545455,132,20.0,Farol,paranaense,3039,2994,10.51,462,2.6,,84118.61,99.15,0.0,FAROL,55.11022044088176
Uniflor,164,17,760.5353658536585,0.0,582.5960000000142,83.53658536585365,39.24390243902439,147,10.365853658536585,Uniflor,paranaense,2136,2106,22.53,480,2.1,,61640.73,98.34,0.0,UNIFLOR,77.8727445394112
São José das Palmeiras,164,35,1532.9445731707317,0.0,6658.19,67.6829268292683,40.140243902439025,129,21.341463414634145,São José das Palmeiras,paranaense,3957,4031,21.69,578,2.2,,27716.37,100.0,49.6,SAO JOSE DAS PALMEIRAS,40.68469362441081
Esperança Nova,163,26,926.9558282208588,0.0,4683.998000000005,75.4601226993865,40.88957055214724,137,15.950920245398773,Esperança Nova,paranaense,1849,1852,13.09,371,2.2,,40683.83,100.0,0.0,ESPERANCA NOVA,88.01295896328294
Porto Vitória,160,34,1519.4819375,0.0,6683.328999999998,72.5,39.8625,126,21.25,Porto Vitória,paranaense,3562,3515,16.72,859,1.8,,27608.39,100.0,0.0,PORTO VITORIA,45.51920341394026
Rancho Alegre D'Oeste,154,32,1137.930974025974,0.0,5674.230000000014,74.67532467532467,40.116883116883116,122,20.77922077922078,Rancho Alegre D'Oeste,paranaense,2618,2623,10.85,477,2.6,,90008.46,100.0,0.0,RANCHO ALEGRE D'OESTE,58.711399161265724
Iguatu,153,29,1698.5360784313725,0.0,8126.456000000004,69.28104575163398,38.23529411764706,124,18.954248366013072,Iguatu,paranaense,2144,2156,20.05,421,2.2,,44212.2,97.91,0.0,IGUATU,70.9647495361781
